Date,Open,High,Low,Close,Adj Close,Volume
2024-02-27,1649.000000,1673.400024,1648.000000,1658.800049,1624.371582,2049420
2024-02-28,1664.699951,1672.000000,1644.199951,1651.900024,1617.614746,936575
2024-02-29,1642.150024,1677.750000,1636.650024,1663.849976,1629.316650,3532888
2024-03-01,1675.449951,1679.199951,1639.099976,1644.099976,1609.976563,2371138
2024-03-04,1649.000000,1654.000000,1635.000000,1637.949951,1603.954224,1788071
2024-03-05,1624.000000,1629.949951,1607.050049,1619.349976,1585.740356,3339546
2024-03-06,1613.000000,1650.000000,1603.849976,1644.199951,1610.074585,2366177
2024-03-07,1650.000000,1654.550049,1630.099976,1637.650024,1603.660522,3181239
2024-03-11,1655.000000,1659.800049,1632.050049,1638.650024,1604.639771,2970902
2024-03-12,1635.900024,1665.000000,1633.050049,1635.599976,1601.653076,2414182
2024-03-13,1638.750000,1651.250000,1610.349976,1631.500000,1597.638062,2564135
2024-03-14,1634.000000,1683.000000,1610.000000,1679.250000,1644.397095,3513306
2024-03-15,1677.000000,1677.000000,1642.849976,1647.300049,1613.110229,3931561
2024-03-18,1649.900024,1663.300049,1634.250000,1643.400024,1609.291260,1183544
2024-03-19,1641.550049,1641.550049,1594.099976,1599.150024,1565.959595,1915379
2024-03-20,1604.750000,1619.099976,1578.099976,1587.099976,1554.159668,1815178
2024-03-21,1608.000000,1619.949951,1583.349976,1595.800049,1562.679199,2684744
2024-03-22,1560.000000,1571.449951,1508.199951,1557.849976,1525.516724,7468824
2024-03-26,1562.250000,1592.550049,1555.550049,1562.250000,1529.825439,4496344
2024-03-27,1569.000000,1576.849976,1540.000000,1546.199951,1514.108521,2589697
2024-03-28,1549.000000,1561.050049,1531.000000,1543.550049,1511.513550,5301493
2024-04-01,1549.000000,1569.000000,1548.000000,1556.699951,1524.390625,1014857
2024-04-02,1559.000000,1565.000000,1525.099976,1528.300049,1496.580078,2031775
2024-04-03,1525.349976,1558.449951,1518.000000,1535.849976,1503.973267,3343884
2024-04-04,1540.800049,1552.500000,1518.699951,1539.650024,1507.694458,3388449
2024-04-05,1542.449951,1547.699951,1523.800049,1545.250000,1513.178223,2773570
2024-04-08,1554.000000,1554.000000,1537.650024,1540.050049,1508.086304,1820136
2024-04-09,1540.000000,1561.800049,1534.550049,1540.500000,1508.526855,2432095
2024-04-10,1541.050049,1552.150024,1536.199951,1539.150024,1507.204956,1829986
2024-04-12,1537.000000,1542.949951,1516.199951,1521.500000,1489.921265,4319991
2024-04-15,1507.099976,1530.500000,1494.000000,1505.050049,1473.812622,3295684
2024-04-16,1486.349976,1501.599976,1467.300049,1477.300049,1446.638672,2446933
2024-04-18,1477.050049,1480.900024,1452.099976,1466.849976,1436.405396,5180223
2024-04-19,1442.000000,1455.500000,1435.000000,1447.500000,1417.457031,5219506
2024-04-22,1452.199951,1473.300049,1450.500000,1465.900024,1435.475098,1939632
2024-04-23,1474.900024,1501.449951,1471.099976,1486.650024,1455.794556,2783858
2024-04-24,1490.000000,1496.949951,1476.300049,1479.250000,1448.548096,1321471
2024-04-25,1479.949951,1515.050049,1479.949951,1504.150024,1472.931274,4558032
2024-04-26,1516.849976,1531.449951,1464.949951,1473.849976,1443.260132,4328477
2024-04-29,1415.000000,1436.000000,1381.000000,1387.400024,1358.604492,11493223
